"bill_id","sub_id","bill_date","bill_year","bill_month","billing_month","period_start","period_end","billed_amount","bill_status","_leakage_flag","first_name","last_name","phone","region","signup_date","subscriber_status","plan_id","plan_name","monthly_fee","plan_data_gb","plan_voice_min","total_data_mb","total_voice_min","total_sms","_data_flag","_data_utilization_pct","ticket_count","open_ticket_count","_resolution_flag","avg_days_to_resolve","churn_date","churn_reason","has_churned"
32,20,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Charles","Scott","555-609608","Southeast","2021-11-01","Active","PL003","Plus",50.00,30,600,19201,946,17,"WITHIN_ALLOWANCE",62.5,1,1,"OPEN_NO_RESOLUTION",NULL,NULL,NULL,False
34,21,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Megan","Moore","555-774865","Southeast","2023-01-07","Cancelled","PL002","Standard",35.00,15,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-11-11","Service Quality",True
36,22,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Paid","OK","Karen","Moore","555-146053","Southeast","2022-11-16","Active","PL003","Plus",50.00,30,600,14647,419,27,"WITHIN_ALLOWANCE",47.7,1,0,"RESOLVED",55.0,NULL,NULL,False
35,22,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Overdue","REVENUE_LEAK","Karen","Moore","555-146053","Southeast","2022-11-16","Active","PL003","Plus",50.00,30,600,2444,78,35,"WITHIN_ALLOWANCE",8.0,NULL,NULL,NULL,NULL,NULL,NULL,False
38,23,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Justin","Jackson","555-633436","Midwest","2023-03-16","Active","PL001","Starter",20.00,5,100,2545,106,121,"WITHIN_ALLOWANCE",49.7,NULL,NULL,NULL,NULL,NULL,NULL,False
37,23,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Justin","Jackson","555-633436","Midwest","2023-03-16","Active","PL001","Starter",20.00,5,100,2963,496,209,"WITHIN_ALLOWANCE",57.9,NULL,NULL,NULL,NULL,NULL,NULL,False
40,24,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Charles","Johnson","555-263282","Northeast","2025-08-21","Active","PL001","Starter",20.00,5,100,26802,1081,174,"OVER_ALLOWANCE",523.5,NULL,NULL,NULL,NULL,NULL,NULL,False
39,24,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Charles","Johnson","555-263282","Northeast","2025-08-21","Active","PL001","Starter",20.00,5,100,19188,867,173,"OVER_ALLOWANCE",374.8,NULL,NULL,NULL,NULL,NULL,NULL,False
42,25,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Paid","OK","Matthew","Adams","555-385052","Southeast","2021-03-27","Active","PL003","Plus",50.00,30,600,19644,1355,283,"WITHIN_ALLOWANCE",63.9,NULL,NULL,NULL,NULL,NULL,NULL,False
41,25,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Matthew","Adams","555-385052","Southeast","2021-03-27","Active","PL003","Plus",50.00,30,600,4370,1189,152,"WITHIN_ALLOWANCE",14.2,NULL,NULL,NULL,NULL,NULL,NULL,False
44,26,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",70.00,"Overdue","REVENUE_LEAK","Laura","Hernandez","555-378940","Midwest","2021-09-08","Active","PL004","Premium",70.00,60,1200,15797,725,90,"WITHIN_ALLOWANCE",25.7,NULL,NULL,NULL,NULL,NULL,NULL,False
43,26,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",70.00,"Paid","OK","Laura","Hernandez","555-378940","Midwest","2021-09-08","Active","PL004","Premium",70.00,60,1200,17555,1205,297,"WITHIN_ALLOWANCE",28.6,NULL,NULL,NULL,NULL,NULL,NULL,False
46,27,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Overdue","REVENUE_LEAK","William","Nelson","555-873530","West","2023-01-13","Active","PL002","Standard",35.00,15,300,16733,267,167,"OVER_ALLOWANCE",108.9,NULL,NULL,NULL,NULL,NULL,NULL,False
45,27,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","William","Nelson","555-873530","West","2023-01-13","Active","PL002","Standard",35.00,15,300,3942,596,277,"WITHIN_ALLOWANCE",25.7,NULL,NULL,NULL,NULL,NULL,NULL,False
47,28,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",120.00,"Paid","OK","Eric","Lopez","555-848836","Midwest","2024-01-30","Suspended","PL006","Unlimited Max",120.00,1000,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False
49,29,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",90.00,"Overdue","REVENUE_LEAK","Elizabeth","Roberts","555-700037","Northeast","2022-04-29","Active","PL005","Family",90.00,120,2000,13032,1118,181,"WITHIN_ALLOWANCE",10.6,NULL,NULL,NULL,NULL,NULL,NULL,False
48,29,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",90.00,"Paid","OK","Elizabeth","Roberts","555-700037","Northeast","2022-04-29","Active","PL005","Family",90.00,120,2000,18567,393,58,"WITHIN_ALLOWANCE",15.1,NULL,NULL,NULL,NULL,NULL,NULL,False
51,30,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Diana","Perez","555-839755","West","2022-03-26","Active","PL002","Standard",35.00,15,300,10011,327,269,"WITHIN_ALLOWANCE",65.2,NULL,NULL,NULL,NULL,NULL,NULL,False
50,30,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Diana","Perez","555-839755","West","2022-03-26","Active","PL002","Standard",35.00,15,300,6938,500,108,"WITHIN_ALLOWANCE",45.2,NULL,NULL,NULL,NULL,NULL,NULL,False
53,31,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Paul","Roberts","555-958434","Midwest","2021-10-06","Active","PL001","Starter",20.00,5,100,14110,933,267,"OVER_ALLOWANCE",275.6,NULL,NULL,NULL,NULL,NULL,NULL,False
52,31,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Paul","Roberts","555-958434","Midwest","2021-10-06","Active","PL001","Starter",20.00,5,100,16293,1337,22,"OVER_ALLOWANCE",318.2,1,1,"RESOLVED",33.0,NULL,NULL,False
55,32,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Unpaid","REVENUE_LEAK","Rachel","Mitchell","555-895632","Southeast","2024-09-21","Active","PL002","Standard",35.00,15,300,16734,1374,219,"OVER_ALLOWANCE",108.9,1,0,"OPEN_NO_RESOLUTION",NULL,NULL,NULL,False
54,32,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Rachel","Mitchell","555-895632","Southeast","2024-09-21","Active","PL002","Standard",35.00,15,300,20305,1077,182,"OVER_ALLOWANCE",132.2,NULL,NULL,NULL,NULL,NULL,NULL,False
57,33,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",70.00,"Paid","OK","Jennifer","Hall","555-900920","Northeast","2023-10-08","Active","PL004","Premium",70.00,60,1200,8471,660,278,"WITHIN_ALLOWANCE",13.8,NULL,NULL,NULL,NULL,NULL,NULL,False
56,33,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",70.00,"Paid","OK","Jennifer","Hall","555-900920","Northeast","2023-10-08","Active","PL004","Premium",70.00,60,1200,15210,1218,195,"WITHIN_ALLOWANCE",24.8,NULL,NULL,NULL,NULL,NULL,NULL,False
59,34,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Elizabeth","Davis","555-216801","Southwest","2022-11-24","Active","PL002","Standard",35.00,15,300,9650,184,124,"WITHIN_ALLOWANCE",62.8,NULL,NULL,NULL,NULL,NULL,NULL,False
58,34,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Elizabeth","Davis","555-216801","Southwest","2022-11-24","Active","PL002","Standard",35.00,15,300,16360,1193,292,"OVER_ALLOWANCE",106.5,NULL,NULL,NULL,NULL,NULL,NULL,False
61,35,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","John","Jones","555-226536","Southwest","2025-04-05","Active","PL002","Standard",35.00,15,300,2692,215,45,"WITHIN_ALLOWANCE",17.5,NULL,NULL,NULL,NULL,NULL,NULL,False
60,35,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","John","Jones","555-226536","Southwest","2025-04-05","Active","PL002","Standard",35.00,15,300,12253,95,42,"WITHIN_ALLOWANCE",79.8,NULL,NULL,NULL,NULL,NULL,NULL,False
63,36,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Rachel","Green","555-900149","Midwest","2022-05-27","Active","PL002","Standard",35.00,15,300,24681,713,135,"OVER_ALLOWANCE",160.7,1,1,"RESOLVED",51.0,NULL,NULL,False
62,36,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Rachel","Green","555-900149","Midwest","2022-05-27","Active","PL002","Standard",35.00,15,300,5528,1069,164,"WITHIN_ALLOWANCE",36.0,NULL,NULL,NULL,NULL,NULL,NULL,False
65,37,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Unpaid","REVENUE_LEAK","Paul","Green","555-613624","Northeast","2021-05-21","Active","PL002","Standard",35.00,15,300,29975,126,255,"OVER_ALLOWANCE",195.1,NULL,NULL,NULL,NULL,NULL,NULL,False
64,37,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Paid","OK","Paul","Green","555-613624","Northeast","2021-05-21","Active","PL002","Standard",35.00,15,300,18020,1071,13,"OVER_ALLOWANCE",117.3,NULL,NULL,NULL,NULL,NULL,NULL,False
67,38,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Amanda","Lee","555-248782","West","2024-07-04","Active","PL001","Starter",20.00,5,100,934,375,70,"WITHIN_ALLOWANCE",18.2,NULL,NULL,NULL,NULL,NULL,NULL,False
66,38,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Amanda","Lee","555-248782","West","2024-07-04","Active","PL001","Starter",20.00,5,100,17571,487,92,"OVER_ALLOWANCE",343.2,NULL,NULL,NULL,NULL,NULL,NULL,False
69,39,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Michelle","Wilson","555-202165","West","2024-06-04","Active","PL001","Starter",20.00,5,100,15753,230,252,"OVER_ALLOWANCE",307.7,NULL,NULL,NULL,NULL,NULL,NULL,False
68,39,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Michelle","Wilson","555-202165","West","2024-06-04","Active","PL001","Starter",20.00,5,100,29646,1458,121,"OVER_ALLOWANCE",579.0,NULL,NULL,NULL,NULL,NULL,NULL,False
71,40,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",50.00,"Paid","OK","Joshua","Martin","555-542839","Southeast","2022-03-01","Active","PL003","Plus",50.00,30,600,16132,518,44,"WITHIN_ALLOWANCE",52.5,NULL,NULL,NULL,NULL,NULL,NULL,False
70,40,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",50.00,"Paid","OK","Joshua","Martin","555-542839","Southeast","2022-03-01","Active","PL003","Plus",50.00,30,600,7786,371,213,"WITHIN_ALLOWANCE",25.3,1,0,"RESOLVED",53.0,NULL,NULL,False
73,41,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",70.00,"Paid","OK","Brian","Walker","555-501220","Southeast","2023-06-27","Active","PL004","Premium",70.00,60,1200,1533,1344,203,"WITHIN_ALLOWANCE",2.5,1,0,"RESOLVED",59.0,NULL,NULL,False
72,41,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",70.00,"Paid","OK","Brian","Walker","555-501220","Southeast","2023-06-27","Active","PL004","Premium",70.00,60,1200,28827,76,296,"WITHIN_ALLOWANCE",46.9,NULL,NULL,NULL,NULL,NULL,NULL,False
75,42,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",35.00,"Paid","OK","Rachel","White","555-743124","Midwest","2022-12-22","Active","PL002","Standard",35.00,15,300,20527,1336,61,"OVER_ALLOWANCE",133.6,NULL,NULL,NULL,NULL,NULL,NULL,False
74,42,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",35.00,"Overdue","REVENUE_LEAK","Rachel","White","555-743124","Midwest","2022-12-22","Active","PL002","Standard",35.00,15,300,20313,28,65,"OVER_ALLOWANCE",132.2,NULL,NULL,NULL,NULL,NULL,NULL,False
77,43,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",90.00,"Paid","OK","Karen","Hernandez","555-326748","Midwest","2025-08-10","Active","PL005","Family",90.00,120,2000,24708,1455,83,"WITHIN_ALLOWANCE",20.1,NULL,NULL,NULL,NULL,NULL,NULL,False
76,43,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",90.00,"Paid","OK","Karen","Hernandez","555-326748","Midwest","2025-08-10","Active","PL005","Family",90.00,120,2000,21906,393,51,"WITHIN_ALLOWANCE",17.8,NULL,NULL,NULL,NULL,NULL,NULL,False
79,44,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","George","Torres","555-403354","Midwest","2024-06-06","Active","PL001","Starter",20.00,5,100,19881,806,167,"OVER_ALLOWANCE",388.3,NULL,NULL,NULL,NULL,NULL,NULL,False
78,44,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","George","Torres","555-403354","Midwest","2024-06-06","Active","PL001","Starter",20.00,5,100,22026,114,174,"OVER_ALLOWANCE",430.2,NULL,NULL,NULL,NULL,NULL,NULL,False
81,45,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Charles","Sanchez","555-763351","Southwest","2021-02-17","Active","PL001","Starter",20.00,5,100,2142,1275,215,"WITHIN_ALLOWANCE",41.8,NULL,NULL,NULL,NULL,NULL,NULL,False
80,45,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Charles","Sanchez","555-763351","Southwest","2021-02-17","Active","PL001","Starter",20.00,5,100,11136,250,137,"OVER_ALLOWANCE",217.5,NULL,NULL,NULL,NULL,NULL,NULL,False
83,46,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",90.00,"Paid","OK","Steven","Roberts","555-238642","Southeast","2021-03-15","Active","PL005","Family",90.00,120,2000,29757,1133,221,"WITHIN_ALLOWANCE",24.2,NULL,NULL,NULL,NULL,NULL,NULL,False
82,46,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",90.00,"Paid","OK","Steven","Roberts","555-238642","Southeast","2021-03-15","Active","PL005","Family",90.00,120,2000,29367,797,288,"WITHIN_ALLOWANCE",23.9,1,0,"RESOLVED",32.0,NULL,NULL,False
85,47,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",20.00,"Paid","OK","Megan","Walker","555-930913","Southwest","2021-10-10","Active","PL001","Starter",20.00,5,100,15439,1489,243,"OVER_ALLOWANCE",301.5,NULL,NULL,NULL,NULL,NULL,NULL,False
84,47,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Megan","Walker","555-930913","Southwest","2021-10-10","Active","PL001","Starter",20.00,5,100,7040,902,104,"OVER_ALLOWANCE",137.5,NULL,NULL,NULL,NULL,NULL,NULL,False
87,48,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",70.00,"Paid","OK","Deborah","Martin","555-194591","West","2021-04-16","Active","PL004","Premium",70.00,60,1200,8719,558,58,"WITHIN_ALLOWANCE",14.2,NULL,NULL,NULL,NULL,NULL,NULL,False
86,48,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",70.00,"Paid","OK","Deborah","Martin","555-194591","West","2021-04-16","Active","PL004","Premium",70.00,60,1200,25966,1382,91,"WITHIN_ALLOWANCE",42.3,NULL,NULL,NULL,NULL,NULL,NULL,False
89,49,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",70.00,"Overdue","REVENUE_LEAK","Chris","Thompson","555-314081","Southeast","2024-05-26","Active","PL004","Premium",70.00,60,1200,10640,1285,154,"WITHIN_ALLOWANCE",17.3,NULL,NULL,NULL,NULL,NULL,NULL,False
88,49,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",70.00,"Paid","OK","Chris","Thompson","555-314081","Southeast","2024-05-26","Active","PL004","Premium",70.00,60,1200,16140,163,38,"WITHIN_ALLOWANCE",26.3,NULL,NULL,NULL,NULL,NULL,NULL,False
90,50,"2025-12-01",2025,12,"2025-12","2025-12-01","2025-12-31",20.00,"Paid","OK","Steven","Allen","555-723384","Southeast","2024-03-24","Suspended","PL001","Starter",20.00,5,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False
92,51,"2026-01-01",2026,1,"2026-01","2026-01-01","2026-01-31",120.00,"Paid","OK","Karen","Moore","555-792094","Midwest","2023-02-22","Active","PL006","Unlimited Max",120.00,1000,3000,27263,191,286,"WITHIN_ALLOWANCE",2.7,NULL,NULL,NULL,NULL,NULL,NULL,False
